inverse max df,inverse max df var,lag time,lag time var,line,max df,max df var,max y,max y var,stdev,strain,time of max df,time of max df var
103.91349733746257,1.1686253650755405,7.896441832625709,3.5982508367475576,x,0.006671148610252064,4.840467910521358e-09,1.3767949418871834,0.0001064189317424715,1.0810297706703274,TL47,104.25,28.6875
127.8766166096916,4.47707171491277,10.902157349433564,14.705050609695062,2,0.005421923852551809,8.077014096843771e-09,1.3308354364973836,0.00017408644552196096,2.1159091934468197,yQC15,133.5,159.75
118.14944881010811,1.3259181925653478,6.115161271232892,3.125663323847083,x,0.005867253997568274,3.2506077057930654e-09,1.3795414516414872,6.139843402055421e-05,1.1514852116138303,yQC15,104.85,47.2275
134.17185316497321,2.6179167109716737,4.658712738222784,4.1592847381661855,1,0.005166866585708888,3.888710453898597e-09,1.3815777154731281,7.11474261575015e-05,1.6179977475174907,yQC16,105.9,683.19
125.1598044107932,2.0818740265674345,6.832624679343363,1.9471003111580174,x,0.005538831932873478,4.061287348294417e-09,1.3815452270480295,5.75331944157427e-05,1.4428700657257516,yQC16,81.45,59.6475
136.8554565900502,5.369965854664246,14.275551431755416,13.849366716476593,1,0.005066273425179727,7.450718694620108e-09,1.3390997517790577,0.0004218000460697665,2.3173186778395944,yQC27,132.0,58.5
137.06840892435588,1.4684006737772861,9.18755762664969,3.7083513445950147,2,0.005057339089737228,2.0040510118984805e-09,1.3696140575335682,5.732638214729256e-05,1.211775834788467,yQC27,141.15,81.42750000000002
147.34672227257758,5.595899108639563,9.640242368927423,12.403124927378203,3,0.004705401434702535,5.684235076138944e-09,1.3913366238268907,0.00016672475779956814,2.365565283106675,yQC27,122.25,307.6875
166.08446441696344,9.931656924761652,16.51416232182407,36.10876427959146,1,0.0041749666505998635,6.293047988735188e-09,1.2983389248811639,0.00021766583128424933,3.151453144941497,yQC28,175.2,219.96000000000006
165.8546600638427,3.993728691137091,9.23835928454217,7.600605848732249,2,0.004179851986455715,2.5422633716482957e-09,1.3802907847551298,9.694075896711534e-05,1.9984315577815246,yQC28,133.05,394.44749999999993
174.35600755577724,6.9505949303690295,11.44017104133568,14.737804621619913,4,0.003976384133556784,3.6512893954913453e-09,1.3383868345873913,0.0001548151148021059,2.6363980978541592,yQC28,178.8,952.5600000000002
189.30741735388642,13.579009759191642,27.286183072373156,63.216661055910215,1,0.0036628770205322666,5.081936096250684e-09,1.2583308438154055,0.000501553053913426,3.684970794889919,yQC29,191.55,192.8475
200.90630181431442,5.157905955993632,12.959594126346513,11.038706917724612,2,0.0034505423367937054,1.5196902880662918e-09,1.3815464260120631,8.007498107195346e-05,2.2711023658112888,yQC29,176.25,532.6875
204.78863430086187,4.0530762191423255,13.844865687625342,7.444622606977341,4,0.0033850224048867744,1.105593052876624e-09,1.3806597969050407,6.190026724144748e-05,2.013225327463949,yQC29,182.7,1347.21
205.11225540348653,202.92546455838038,52.860823920543915,735.7815186836597,x,0.003396499577981539,6.149157461114246e-08,0.9969515093207881,0.0013813362670854,14.245190927410569,yQC3,336.0,5787.0
125.37286246235003,1.0063710038553575,10.64228685041174,2.358971690767365,x,0.005529041018426141,1.969604399234467e-09,1.3917746558489659,5.661063808542747e-05,1.0031804443146595,yQC4,123.75,348.1875
119.38053299484137,1.7331013166188791,6.4997090635538175,1.4049278256115314,1,0.005806905480261218,4.10031076657745e-09,1.3776486689624479,3.457960177808008e-05,1.3164730595871983,yQC40,77.1,40.58999999999999
122.74225922520314,3.9870000900842872,4.113177653615022,4.739410767902215,3,0.005648675355192012,8.495698164670979e-09,1.3713169459803345,8.207882181583202e-05,1.9967473776330062,yQC41,69.75,213.1875
121.92146852358657,2.9623432344092873,3.594080880988001,3.0578792406235356,1,0.005686327793659308,6.454715805549163e-09,1.3593538605198296,8.738189818983373e-05,1.7211459073562843,yQC42,78.3,376.11
125.81754365883936,2.607206328761655,5.682192334125148,2.533435545605633,3,0.00551004871948134,4.9524425524282754e-09,1.3512927138293966,5.2562068515867184e-05,1.614684591108014,yQC43,84.3,116.00999999999996
119.30747416361683,3.4086267899707843,6.085744164964366,3.8129650698943585,1,0.005811152813942914,8.165256319140378e-09,1.3726421966889664,9.844789876619394e-05,1.8462466763601186,yQC44,76.05,73.1475
124.89370116269077,4.507149785162373,7.071516613850885,6.304747491957221,1,0.005551506323478162,8.96994741141052e-09,1.3832397745203358,0.00011930467569587304,2.123004895228076,yQC45,87.6,160.74
132.0680835103909,2.738067258840609,6.163250337847128,2.452180674259443,2,0.005249236353596996,4.373081859237861e-09,1.3848170429854394,4.676595997546183e-05,1.654710626919586,yQC46,84.15,85.0275
129.81385257181677,2.6753549898282136,6.2277721421828245,2.520564339785579,2,0.005340395827957158,4.538466534306207e-09,1.3895326788077824,4.169460285039372e-05,1.6356512433364925,yQC48,80.7,75.51
135.09567898661876,4.765307818318044,5.870457561206688,6.492746226437848,1,0.0051321284532347255,6.892837954590586e-09,1.3796906901632697,0.0001607738957178484,2.1829585012817,yQC49,83.1,235.89000000000007
105.30521378617206,1.0324568657911675,4.986707966122619,2.471263611639887,6,0.006582883066501198,4.0588740311222384e-09,1.3910098689476795,5.935505911025797e-05,1.0160988464668028,yQC5,99.15,58.02749999999999
444.91417719294157,2930.6114077116017,52.94643529737848,1780.9222801001001,1,0.001581499085422896,3.826820910895095e-08,0.4470923446496186,0.0001359522608822396,54.13512175761316,yQC56,338.4,15391.44
422.18753235619835,7.300994313724343,20.3250386580592,16.23139998095515,10,0.0016418663264182358,1.0979900462538006e-10,0.9511366020286077,1.6761807055562307e-05,2.702035216965971,yQC56,367.5,339.75
289.11024209111326,19.377207173996876,21.698406181231523,56.064124389372225,6,0.0023980760103565874,1.3410098716032309e-09,1.0944462623066376,7.123988796506224e-05,4.401954926393144,yQC56,310.95,1722.8475
109.00011097514626,2.3964564158649826,7.741108866127442,5.395276170354761,1,0.006360426320578632,8.181188816936607e-09,1.3567022907320376,0.00016020095622892454,1.5480492291477628,yQC6,100.5,56.25
148.0618200056935,6.449082719919203,14.914670752513976,22.85089804687032,12,0.004682841199883602,6.381887866094337e-09,1.370646033954538,0.00013094753193422672,2.5395044240794706,yQC62,167.85,178.62750000000008
152.86791327231845,8.96475079680324,10.35553376938264,21.25088591241303,7,0.004536041526237732,8.017603939563326e-09,1.3546149496379178,0.0002508975859834216,2.9941193691640353,yQC62,148.2,1103.7600000000004
151.19747351162275,3.6707178032875585,11.113525594692558,6.559176412821894,9,0.004585124242263442,3.419662479338569e-09,1.3910666503307163,8.192262834891788e-05,1.9159117420402116,yQC62,126.3,464.3100000000002
141.05999111733476,4.710952944648568,6.295495750240841,13.389868128359636,x,0.004915017928986068,5.795753802994751e-09,1.3594491133922426,0.000148482259663859,2.1704729771753826,yQC62,127.05,2198.0475
176.71821864121523,6.200474437496726,12.75490950397231,12.86421524863966,19,0.003923109313667817,3.059406730678339e-09,1.389172978478978,8.637077054789874e-05,2.4900751871171933,yQC63,151.2,489.0600000000002
179.49079212838663,3.2152062102539323,11.242604012233295,3.8957156814169336,26,0.003862128425199438,1.4943282171891665e-09,1.3884608879085925,4.2353823399142495e-05,1.7930996096853995,yQC63,160.95,201.8475
170.56357363372013,5.09093350820156,14.230402369735268,8.940974540064454,28,0.004064577501149647,2.909493704030315e-09,1.3738119922331984,6.204116380581556e-05,2.2563097101686993,yQC63,146.4,351.54
241.50380616950108,8.258663499061385,26.994577540682773,20.01715418599795,23,0.002870538805687822,1.1840950431773202e-09,1.2111521444867095,0.00010962639221517245,2.873789049158164,yQC64,284.25,834.1875
155.43331148516435,12.815297971083375,20.23273326228195,35.208207014785025,x,0.004461811709137226,1.0519715038602472e-08,1.3427833141331362,0.0008301275258625681,3.5798460820380775,yQC7,156.3,126.81
